Date1,Temp1,,,,,,,,,,,,,,
12/1/2017,2.8,,,,,,,,,,,,,,
1/1/2018,1.8,,,,,,,,,,,,,,
2/1/2018,1.5,,,,,,,,,,,,,,
3/1/2018,2.2,,,,,,,,,,,,,,
4/1/2018,6.3,,,,,,,,,,,,,,
5/1/2018,10.3,,,,,,,,,,,,,,
6/1/2018,12.4,,,,,,,,,,,,,,
7/1/2018,14.3,,,,,,,,,,,,,,
8/1/2018,12.4,,,,,,,,,,,,,,
9/1/2018,10.1,,,,,,,,,,,,,,
10/1/2018,7.6,,,,,,,,,,,,,,
11/1/2018,5.9,,,,,,,,,,,,,,
12/1/2018,4,,,,,,,,,,,,,,
1/1/2019,2.2,,,,,,,,,,,,,,
2/1/2019,5.1,,,,,,,,,,,,,,
3/1/2019,4.8,,,,,,,,,,,,,,
4/1/2019,7.6,,,,,,,,,,,,,,
5/1/2019,7.7,,,,,,,,,,,,,,
6/1/2019,11,,,,,,,,,,,,,,
7/1/2019,14.2,,,,,,,,,,,,,,
8/1/2019,13.2,,,,,,,,,,,,,,
9/1/2019,10.9,,,,,,,,,,,,,,
10/1/2019,7,,,,,,,,,,,,,,
11/1/2019,3.3,,,,,,,,,,,,,,
12/1/2019,3.9,,,,,,,,,,,,,,
1/1/2020,4.8,,,,,,,,,,,,,,
2/1/2020,2.8,,,,,,,,,,,,,,
3/1/2020,3.7,,,,,,,,,,,,,,
4/1/2020,6.7,,,,,,,,,,,,,,
5/1/2020,9.2,,,,,,,,,,,,,,
6/1/2020,12.1,,,,,,,,,,,,,,
7/1/2020,11.8,,,,,,,,,,,,,,
8/1/2020,13.1,,,,,,,,,,,,,,
9/1/2020,10.7,,,,,,,,,,,,,,
10/1/2020,7.4,,,,,,,,,,,,,,
11/1/2020,6.4,,,,,,,,,,,,,,
12/1/2020,3.4,,,,,,,,,,,,,,
1/1/2021,0.4,,,,,,,,,,,,,,
2/1/2021,2.2,,,,,,,,,,,,,,
3/1/2021,4.9,,,,,,,,,,,,,,
4/1/2021,4.2,,,,,,,,,,,,,,
5/1/2021,7.3,,,,,,,,,,,,,,
6/1/2021,12,,,,,,,,,,,,,,
7/1/2021,14.4,,,,,,,,,,,,,,
8/1/2021,13.3,,,,,,,,,,,,,,
9/1/2021,12.4,,,,,,,,,,,,,,
10/1/2021,8.7,,,,,,,,,,,,,,
11/1/2021,6.2,,,,,,,,,,,,,,
12/1/2021,3.2,,,,,,,,,,,,,,
1/1/2022,4.8,,,,,,,,,,,,,,
2/1/2022,3.4,,,,,,,,,,,,,,
3/1/2022,5,,,,,,,,,,,,,,
4/1/2022,6.4,,,,,,,,,,,,,,
5/1/2022,9.7,,,,,,,,,,,,,,
6/1/2022,12.2,,,,,,,,,,,,,,
7/1/2022,13.4,,,,,,,,,,,,,,
8/1/2022,13.2,,,,,,,,,,,,,,
9/1/2022,11.6,,,,,,,,,,,,,,
10/1/2022,9.3,,,,,,,,,,,,,,
11/1/2022,6.7,,,,,,,,,,,,,,
12/1/2022,1.5,,,,,,,,,,,,,,
1/1/2023,3.1,,,,,,,,,,,,,,
2/1/2023,4.8,,,,,,,,,,,,,,
3/1/2023,2.8,,,,,,,,,,,,,,
4/1/2023,6.5,,,,,,,,,,,,,,
5/1/2023,9.8,,,,,,,,,,,,,,
6/1/2023,14.1,,,,,,,,,,,,,,
7/1/2023,12.7,,,,,,,,,,,,,,
8/1/2023,13.3,,,,,,,,,,,,,,
9/1/2023,12.3,,,,,,,,,,,,,,
10/1/2023,7.8,,,,,,,,,,,,,,
11/1/2023,4,,,,,,,,,,,,,,
12/1/2023,3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
